=====================
Read duration: 484512 microseconds
=====================
LOW,HIGH
0,255
0,255
0,255
0,255
0,255
0,255
0,255
0,118
0,4
1,4
0,4
1,4
0,4
4,1
0,4
1,4
0,4
1,4
0,4
4,1
0,4
4,1
0,4
4,1
0,4
1,4
3,1
4,1
0,4
1,4
3,1
4,1
0,50
0,5
0,4
0,5
0,4
0,5
3,1
0,5
0,4
0,5
0,4
0,5
3,1
0,5
3,1
0,5
3,1
0,5
0,4
3,2
3,1
0,5
0,4
3,2
3,1
0,50
0,5
0,4
0,5
0,4
0,5
3,1
0,5
0,4
0,5
0,4
0,5
3,1
0,5
3,1
0,5
3,1
0,5
0,4
3,2
3,1
0,5
0,4
3,2
3,1
0,50
0,5
0,4
0,5
0,4
0,5
3,1
0,5
0,4
0,5
0,4
0,5
3,1
0,5
3,1
0,5
3,1
0,5
0,4
3,2
3,1
0,5
0,4
3,2
3,1
0,50
0,5
0,4
0,5
0,4
0,5
3,1
0,5
0,4
0,5
0,4
0,5
3,1
0,5
3,1
0,5
3,1
0,5
0,4
3,2
3,1
0,5
0,5
2,2
3,53
0,5
0,4
0,5
0,4
0,5
3,1
0,5
0,4
0,5
0,4
0,5
3,1
0,5
3,8
3,8
0,5
3,1
3,8
0,5
3,1
3,60
0,11
0,11
3,8
0,11
0,11
3,8
3,1
0,5
3,8
0,5
3,1
3,8
0,5
3,1
3,60
0,11
0,11
3,8
0,11
0,11
3,8
3,8
3,8
0,5
3,1
3,8
0,5
3,1
3,60
0,11
0,11
3,8
0,11
0,11
3,8
3,8
3,8
0,5
3,1
3,8
0,5
3,1
3,60
0,11
0,11
3,8
0,11
0,11
3,8
3,8
3,8
0,5
3,1
3,2
0,4
0,5
3,1
3,2
0,50
0,4
0,5
0,4
0,5
0,4
3,2
0,4
0,5
0,4
0,5
0,4
3,2
0,4
3,2
0,4
3,2
0,4
0,5
3,1
3,2
0,4
0,5
3,2
2,2
0,50
0,11
0,11
0,5
2,2
0,11
0,11
0,5
2,2
0,4
3,2
0,5
2,2
0,11
We r done.
